Start time,End time,thai_transcript,translation
268.6,273.6,เด้ง มา ให้ น้อง ช้า,Come slowly to the little one.
274.5,278.7,ใช่ๆ อันนี้แบบต้องรอนิดนึง เดี๋ยวพี่รอไปกับหนูด้วย,"Yes, for this one we have to wait a bit. I'll wait with you."
291.5,323.2,แต่ทีเนี้ยพี่ก็เบาใจว่าเออน้องยังรับฟังพี่เนาะเพราะว่าถ้าเป็นแก๊งมิจฉาชีพอ่ะระบบโทรศัพท์เนาะจะถูกล็อคและแล้วอาจจะให้ไปรับของจะจ่ายเงินไม่ใช่ว่ามาขายประกันแบบนี้ถูกมั้ยแล้วก็อันนี้มันตรวจสอบข้อมูลได้ง่ายด้วยของพี่อ่ะมันมีบริษัทรองรับอยู่แล้วของไทยพาณิชย์อ่าโอเคเดี๋ยวถ้าขึ้นสลิปหนูส่งสลิปมาที่แบบเมื่อกี้นะ,
323.7,329.2,รหัสของราคา นิดนึง,Price code a little bit
330.1,362.4,ยังเลยพี่ ยังไม่มาเลยเอางี้ เดี๋ยวระหว่างรอเนี่ย เดี๋ยวพี่อ่านบทไอ้นี่ก่อน 15 ข้อเนาะ แล้วก็สรุปความคุ้มครอง ถ้าข้อไหนเป็นคำถามที่ไม่สุภาพก็ต้องขออภัยน้องณัฐพงษ์ด้วยนะ เพื่อไม่เป็นการเสียเวลาเนาะ รอรหัสเพราะว่าเน็ตน้องอาจจะทำข้อแรก เริ่มเลย ฉันเคยถูกปฏิเสธเรื่องการรับประกันภัย เพิ่มอัตราเบี้ยประกันภัย เปลี่ยนแปลงเงื่อนไขสำหรับการขอรับประกันภัยหรือการขอกลับคืนสู่สภาพเดิม หรือการขอต่ออายุกรมธรรม์จากบริษัทนี้หรือบริษัทอื่นหรือไม่คะ,"The brother hasn't arrived yet. While waiting, let's read this 15-question script first and summarize the coverage. If any of the questions are impolite, I apologize to Nong Nattapong. To not waste time, waiting for the code because of the internet, Nong should start with the first question. Have I ever been denied insurance coverage, had the premium rate increased, had the terms and conditions changed for applying for insurance or for being reinstated to the original status, or been denied renewal of the policy from this company or any other company?"
364.1,374.5,อ่า โอเค ขอบคุณค่ะ ข้อที่ 2 ท่านเสพหรือเคยเสพยาเสพติด หรือจะเสพติด หรือมีส่วนเกี่ยวข้องกับการค้ายาเสพติด หรือเคยต้องโทษเกี่ยวกับคดียาเสพติดหรือไม่คะ,"Ah, okay, thank you. Question 2: Have you used or ever used drugs, or will you be addicted to drugs, or been involved with drug trafficking, or have you ever been punished in a drug case?"
376.2,401.8,อ่า ขอบคุณค่ะ ข้อที่ 3 ท่านเคยได้รับการวินิจฉัยหรือการรับรักษาหรือตั้งข้อสังเกตโดยแพทย์ ปรากฏเป็นโรคเอดส์ HIV โรคมะเร็ง โรคหัวใจ โรคหลอดเลือด โรคเบาหวาน โรคความดันสูง โรคหลอดเลือดในสมอง โรคปอด วัณโรค โรคหอบหืด โรคเลือด โรคตับ โรคไต โรค sld พิการทางร่างกายหรือไม่คะ ผมอ้าน้ำท่วมปอด นี่เนาะ รักษายังไงอ่ะคะ,
402.8,409.1,กินยาเป็นพวก มันจะเป็นวัณโรค อ๋อ แล้วก็รักษาเมื่อปีไหน,"Taking medication as a group, they will get tuberculosis. Oh, and when was the treatment?"
410.4,415.0,รักษาตอนปี 65 ครับผม แล้วก็รักษาที่โรงพยาบาลอะไร,I was treated in the year 2022. And treated at which hospital?
415.8,427.2,โรงพยาบาลป่าตองครับ แล้วก็กลับมารักษาตัวอยู่ที่บ้าน รักษายังไงบ้างให้ทานยาหรือว่ายังไงคะ,"I was at Patong Hospital and then came back to be treated at home. How should I continue the treatment, by taking medicine or what?"
427.9,433.4,ตอนนี้ผลการรักษาปกติหรือยัง,Is the treatment result normal now?
434.6,483.8,ก็ปกติดีครับ แต่ว่าผลปกติดีอยู่เนาะ ว่าโรงพยาบาลอะไร โรงพยาบาลป่าตองครับ โอเค โอเค ได้อ่ะ ขอบคุณมากแล้ว ก็ต่อไปข้อที่ 4 ในระหว่าง 3 ปีที่ผ่านมา ท่านเคยได้รับการตรวจเพื่อวิทย์ให้ใช้ เช่น x-ray กว่าตรวจคลื่นหัวใจ การตรวจเลือด หรือตรวจเลือดเครื่องมือพิเศษอื่นๆ และได้รับการปรึกษาเกี่ยวกับสุขภาพ หรือการเข้ารับการรักษาสถานพยาบาลหรือไม่ครับผม โอเค ข้อที่ 5 ในรอบ 6 เดือนที่ผ่านมา น้ำหนักตัวของท่านเปลี่ยนแปลงหรือไม่คะ,
489.5,497.0,ก็จาก 53 ขึ้นมา 68 ครับ พี่โอเคแล้ว ก็อันนี้เกิดจากการกินใช่ไหม,"So it went up from 53 to 68, right? And this is caused by eating, isn't it?"
500.0,506.1,ข้อที่ 6 ท่านเป็นผู้มีสัญชาติประเทศที่เกิดที่เกี่ยวข้องกับประเทศสหรัฐอเมริกาหรือไม่คะ,Question 6: Are you a citizen of a country related to the United States of America?
506.7,523.4,"ข้อที่ 7 ท่านเป็นหรือเคยเป็นผู้ถือบัตรประจำตัวผู้มีถิ่นที่อยู่ถาวรอย่างถูกกฎหมายในประเทศสหรัฐอเมริกาหรือไม่คะ ไม่ครับ 
ข้อที่ 8 ท่านมีหน้าที่เสียภาษีให้แก่กรมสรรพากรของประเทศสหรัฐอเมริกาหรือไม่คะ","Question 7, are you or have you ever been a legal permanent resident of the United States? No.
Question 8, do you have a duty to pay taxes to the Internal Revenue Service of the United States?"
523.7,582.9,"ข้อที่ 9 ท่านมีสถานะเป็นผู้มีถิ่นที่อยู่ในประเทศสหรัฐอเมริกาเพื่อวัตถุประสงค์ในการเก็บภาษีอากรของประเทศสหรัฐอเมริกาใช่หรือไม่คะ

ข้อที่ 10 คุณลูกค้ามีความประสงค์และยินยอมให้บริษัทประกันชีวิตส่งและเปิดเผยข้อมูลเกี่ยวกับเบี้ยประกันภัยต่อกรมสรรพากรตามหลักเกณฑ์วิธีการที่กรมสรรพากรกำหนด และหากผู้ขอรับประกันภัยเป็นชาวต่างชาติซึ่งเป็นผู้นำหน้าที่ต้องเสียภาษีเงินได้ตามกฎหมายว่าด้วยภาษีอากร อันนี้น้องนันทพงศ์มีความประสงค์ให้พี่เปิดเผยต่อกรมสรรพากรไหมคะ ไม่ครับ ผมอ่ะโอเค

ข้อที่ 11 บริษัทไทยพาณิชย์โปรเทคจำกัดและบริษัท FWD ประกันชีวิตจำกัด ตระหนักถึงความสำคัญในการดูแลข้อมูลส่วนบุคคล เพื่อให้เป็นไปตาม พ.ร.บ.คุ้มครองข้อมูลส่วนบุคคล บริษัทขอความยินยอมจากคุณลูกค้านะคะ ซึ่งคุณลูกค้าให้ความยินยอมเป็นการให้ความยินยอมสำหรับทุก consent ที่มีให้กับ บริษัท FWD นะคะ","Item 9: Are you a resident of the United States for the purpose of collecting United States taxes?

Item 10: Does the customer agree and consent to the life insurance company sending and disclosing information about insurance premiums to the Revenue Department in accordance with the criteria and methods prescribed by the Revenue Department? And if the insured person is a foreigner who is required to pay income tax under the law on taxation, does Nong Nantaphong wish for you to disclose this to the Revenue Department? No, I'm okay.

Item 11: Siam Commercial Protech Co., Ltd. and FWD Life Insurance Public Company Limited recognize the importance of protecting personal information"
583.7,610.0,คุณลูกค้ายินยอมให้บริษัทไทยพาณิชย์โปรเทค จำกัด เก็บรวบรวม ใช้ และเปิดเผยข้อมูลส่วนบุคคลและข้อมูลส่วนบุคคลที่มีความอ่อนไหว เช่น ข้อมูลสุขภาพ ให้แก่บริษัท FWD ประกันชีวิต จำกัด (มหาชน) เพื่อวัตถุประสงค์ในการนำเสนอผลิตภัณฑ์และบริการ และข้อเสนอพิเศษอื่นเกี่ยวกับการประกันภัยและการตรวจสอบที่เกี่ยวข้อง รวมถึงยินยอมให้ทำการวิเคราะห์ปรับปรุงผลิตภัณฑ์ บริการ และอื่นๆ คุณลูกค้ายินยอมนะคะ อันนี้ตอบยินยอมให้พี่นิดนึงค่ะ,"You, the customer, consent to Thai Panitchpro Tech Company Limited collecting, using and disclosing personal data and sensitive personal data such as health data to FWD Life Insurance Public Company Limited for the purpose of presenting products and services and other special offers related to insurance and related examinations, including consent to analyze and improve products, services, etc. You, the customer, agree, right? Please give your consent to me for a moment."
611.2,670.7,กล่าวคำว่ายินยอมค่ะข้อที่ 12 ท่านตกลงให้ความยินยอมให้บริษัท ไทยพาณิชย์ โพเทค จำกัด นะคะ เปิดเผยข้อมูลส่วนบุคคลหรือข้อมูลใดๆ ของท่านให้แก่ ธนาคารไทยพาณิชย์ จำกัด (มหาชน) และบริษัทในกลุ่มธุรกิจทางการเงินของธนาคาร ตามที่ปรากฏบน World Wide Web scb.co.th และพันธมิตรทางธุรกิจที่เชื่อถือได้ของบริษัท เพื่อวัตถุประสงค์ดังนี้ 1. วิจัยวิเคราะห์ข้อมูลส่วนบุคคลและข้อมูลใดๆ ของท่าน เพื่อประโยชน์สูงสุดในการพัฒนาผลิตภัณฑ์และบริการที่ตอบสนองความต้องการของท่านอย่างแท้จริง และ 2. ติดต่อท่านเพื่อเสนอผลิตภัณฑ์และบริการ และสิทธิประโยชน์ที่เหมาะสมแก่ท่านโดยเฉพาะ คุณลูกค้าสามารถอ่านนโยบายความคุ้มครองข้อมูลส่วนบุคคล ตรวจสอบรายชื่อบริษัทคู่ค้าได้ที่หน้าเว็บไซต์ของบริษัท ไทยพาณิชย์ โปรเทค จำกัด ที่ www.scbotech.co.th นะคะ หากคุณลูกค้ามีข้อสงสัยใดๆ หากคุณลูกค้าประสงค์ที่จะถอนความยินยอมในอนาคต สามารถแจ้งผ่านศูนย์บริการลูกค้า 1314 นะคะ,
671.3,671.9,ต้องนันทพงศ์,Must Nanthaphong
681.6,682.3,ตัวนี้ใช่ไหมพี่,"Is this the one, bro?"
701.7,703.5,พอ ๆ ขอบคุณครับ,"Enough, enough, thank you."
704.5,708.0,น้อง นันทพงศ์,Nong Nanthapong
708.5,768.3,ครับข้อ 13 ต่อจากนี้ไปจะเป็นการให้ความยินยอมกับบริษัท FWD นะคะ หากคุณลูกค้าหรือผู้แทนยืนยันว่าคำตอบทุกข้อเป็นความจริงแล้ว เข้าใจดีว่าหากไม่แถลงข้อความจริง FWD อาจปฏิเสธรับประกันภัยการจ่ายเงินตามกรมธรรม์ คุณลูกค้าหรือผู้แทนโดยชอบธรรมยินยอมให้แพทย์และบริษัทประกันภัย หรือสถานพยาบาล หรือบุคคลอื่นใดซึ่งมีข้อมูลส่วนบุคคลที่อ่อนไหว เช่น ประวัติสุขภาพของคุณลูกค้าหรือผู้เยาว์ที่ผ่านมาและจะมีต่อไปในอนาคต เปิดเผยข้อมูลให้แก่บริษัท FWD หรือผู้แทน เพื่อการพิจารณารับประกันภัยหรือการจ่ายเงินตามกรมธรรม์ คุณลูกค้าหรือผู้แทนชอบธรรมยินยอมให้บริษัท FWD เก็บรวบรวม ใช้ และเปิดเผยข้อมูลส่วนบุคคลที่อ่อนไหว เช่น ข้อมูลสุขภาพของคุณลูกค้าหรือผู้เยาว์ต่อบริษัทประกันภัยอื่น หรือบริษัทประกันภัยต่อ หน่วยงานที่มีอำนาจตามกฎหมาย บุคลากรทางการแพทย์ เพื่อการพิจารณารับประกันภัยหรือการจ่ายเงินตามกรรมทันประกันภัย คุณลูกค้าหรือผู้แทนโดยชอบธรรมรับทราบว่า FWD เก็บรวบรวม ใช้ หรือเปิดเผยข้อมูลส่วนบุคคลของคุณลูกค้าหรือผู้เยาว์แก่สำนักงานคณะกรรมการกำกับและส่งเสริมการประกอบธุรกิจประกันภัย,"Number 13, from this point onwards, you will be giving consent to FWD company. If you, the customer or representative, confirm that all answers are true and understand well that if you do not"
828.4,832.6,ส่วนบุคคลเพื่อการวิเคราะห์ปรับปรุงผลิตภัณฑ์บริการและอื่นๆคุณลูกค้ายินยอมนะคะ,"Personal for analyzing, improving products, services and others, dear customers, please agree."
833.0,872.9,ข้อที่ 15 คุณลูกค้ายินยอมให้บริษัท FWD เก็บรวบรวมและหรือใช้ข้อมูลส่วนบุคคล ข้อมูลส่วนบุคคลที่มีความอ่อนไหว เพื่อเสนอผลิตภัณฑ์ บริการ และข้อเสนอพิเศษอื่น ๆ รวมถึงโอนและเปิดเผยแก่บริษัทคู่ค้าหรือบริษัทในเครือ เพื่อการวิเคราะห์ ปรับปรุงการผลิต และอื่น ๆ รวมถึงการเสนอผลิตภัณฑ์และบริการ ข้อเสนอพิเศษอื่น ๆ คุณลูกค้ายินยอมนะคะ หากในอนาคตคุณลูกค้ามีความประสงค์เปลี่ยนแปลงความยินยอม สามารถติดต่อผ่านศูนย์บริการ 1351 ครั้งนี้ FWD ขอเรียนให้ทราบว่า การถอนความยินยอมในภายหลังจะทำให้ท่านเสียสิทธิ์ในการรับข้อเสนอผลิตภัณฑ์ ข้อเสนอพิเศษอื่น ๆ ข่าวสารต่าง ๆ จาก FWD และบริษัทคู่ค้าด้วยนะคะ,"Clause 15, the customer agrees to allow FWD company to collect and/or use personal data, sensitive personal data to offer products, services and other special offers, including transferring and disclosing to partner companies or affiliated companies for analysis, production improvement, etc., including offering other products and services, special offers. The customer agrees. If in the future the customer wishes to change the consent, they can contact through the service center 1351. This time, FWD would like to inform that the withdrawal of consent later will cause you to lose the right to receive product offers, other special offers, various news from FWD and partner companies as well."
873.6,881.0,ค่ะ ค่ะ อันนี้เดี๋ยวพี่สรุปความคุ้มครองนะ อีกไม่เกิน 2 นาที อันนี้น้องอยู่ข้างนอกเหรอ,"Yes, yes, I will summarize the coverage for you in no more than 2 minutes. Are you outside right now?"
882.4,941.5,"ค่ะ อันนี้เสาวนีย์ ภูมิมาวาสนะคะ เลขที่ใบอนุญาต 6603013069 นะคะ ติดต่อจากบริษัทไทยพาณิชย์โปรเทคจำกัด รับประกันภัยโดยบริษัท FWD ประกันชีวิตจำกัด (มหาชน) ขออนุญาตยืนยันข้อมูลนะคะ เพื่อเป็นการรับสมัครความคุ้มครองทางโทรศัพท์ โดยที่ไม่ต้องกรอกเอกสารการสมัครใดๆ ทั้งสิ้น ขณะนี้คุณนันทพงศ์วิธี มีอายุระหว่าง 20 - 60 ปี คุณนันทพงศ์ตั้งแต่สมัครทำประกันชีวิตแบบออมเพิ่มสุข 24/4 กับบริษัท FWD ประกันชีวิตจำกัด (มหาชน) ดำเนินธุรกิจประกันชีวิตในประเทศไทยภายใต้การกำกับดูแลของ คปภ. นะคะ ดิฉันขอยืนยันผลประโยชน์ที่คุณลูกค้าจะได้รับคือ คุณลูกค้าได้รับสมัครความคุ้มครองที่ทุนประกันภัย 60,000 บาท คุณนันทพงศ์จะได้รับเงินจ่ายคืนทุกปี ตั้งแต่สิ้นปีกรมธรรม์ปีที่ 1-14 จำนวน 4% ปีละ 2,400 บาท และหน้าสิ้นปีกรมธรรม์ที่ 15-24 จำนวน 8% ปีละ 4,800 บาท รวมผลประโยชน์ทั้งหมดที่คุณนันทพงศ์นิธีได้รับเป็นเงินจ่ายคืน",
942.3,978.6,"9,600 บาท โดยที่คุณลูกค้าจะได้รับความคุ้มครองการสูญเสียชีวิตตลอด 24 ปี จำนวน 288,000 บาท หรือเบี้ยประกันภัยที่ชำระมาแล้วแต่จำนวนใดมากกว่า กรณีที่บริษัทไม่คุ้มครองคือ ไม่คุ้มครองการเสียชีวิตจากการฆ่าตัวตายภายในปีแรก หรือถูกผู้รับผลประโยชน์ฆ่าตาย และกรณีไม่เปิดเผยว่าความจริงหรือแถลงข้อความอันเป็นเท็จ นะคะ คุณลูกค้าตกลงยินยอมให้บริษัท FWD ประกันชีวิตจำกัด เรียกเก็บค่าเบี้ยประกันภัยของคุณเป็นแบบรายเดือน งวดละ 2,25 บาท เป็นเวลา 14 ปี ผ่านบัญชีออมทรัพย์ นะคะ อันนี้น้องณัฐพงษ์ตกลงนะคะ",
979.9,1039.7,ก็คือว่า ถ้าพร้อมแบบสมมุติ ถ้าครบ 2 ปีแล้ว ถ้าผมต้องถอนตังค์ออก นี้ได้ใช่ไหม พี่เขาแจ้งได้ใช่มั้ย ในแอปองค์นี้ เดี๋ยวพี่มันจะมี QR code ในเล่มกรมธรรม์ด้วย ให้น้องโหลด หรือว่าน้องสามารถพิมพ์ได้เลย เดี๋ยวพี่ส่งขั้นตอนให้นะ โอเคได้ๆ ครับผมตกลงให้พี่ สวัสดีนิดนึงครับ คุณลูกค้าจะได้รับความคุ้มครองทันทีหลังจากสามารถเรียกเก็บเบี้ยในประเภทออมทรัพย์นะคะ ทีนี้ตกลงตามข้อความทั้งหมดที่กล่าวมาด้วยนะคะ อันนี้ตกลงให้พี่นิดนึง พี่จะบันทึกในระบบ ตกลงความโอเค หลังจากนี้เมื่อกรมธรรม์ได้รับการอนุมัตินะคะ น้องนันทพงศ์นี้ทีจะได้รับ SMS 2 ข้อความจาก fwd Ride SMS ที่ 1 จะแจ้งยืนยันกรมธรรม์ที่ได้รับการอนุมัติพร้อมดึงเข้าไปตรวจสอบข้อมูลกรมธรรม์ รายละเอียดความคุ้มครองและรอบการชำระค่าเบี้ย เมื่อน้องเราจะคงตรวจสอบเรียบร้อยแล้ว กรุณากดยืนยันความถูกต้องของกรมธรรม์ที่,"If it's ready, for example, if it's been 2 years, if I need to withdraw money, this can be done, right? They can notify in this app, right? Soon, there will be a QR code in the policy book as well for you to download, or you can print it out right away. I'll send you the steps, OK? I agree. Hello for a bit. The customer will be covered immediately after being able to collect premiums in the savings category. Now, agree to all the messages mentioned as well. This one, agree for a bit. I will record it in the system. Agree, okay. After this, when the policy is approved, Nantapong will receive 2 SMS messages from fwd Ride. The first SMS will notify and confirm the approved policy, ready to be pulled in to check the policy information, coverage details, and premium payment cycle. When we have finished checking"
1039.9,1099.7,ล่างสุดด้วยนะคะ ค่ะส่วน smls ที่ 2 จะเป็น Link เพื่อยืนยันตัวตนสำหรับการทำประกันภัยแบบ EQ yc ด้วยตนเอง เป็นขั้นตอนสำคัญที่กฎหมายกำหนดและต้องใช้บัตรประชาชนประกอบด้วยนะคะ น้องณัฐพงษ์ เพื่อเป็นการรักษากรมธรรม์ให้มีผลบังคับใช้อย่างต่อเนื่องกัน กรุณาชำระเบี้ยประกันภัยเมื่อถึงกำหนดชำระทุกครั้งนะคะ เพราะหากกรมธรรม์อายุ คุณลูกค้าจะต้องส่งราคาแสดงว่ามีสุขภาพสมบูรณ์ และสามารถทำประกันชีวิตต่อได้ตามเงื่อนไขกรมธรรม์ และคุณสามารถเปลี่ยนแปลงวิธีการชำระเบี้ยประกันภัยเป็นหากผ่านบัญชีธนาคารได้เพียงติดต่อที่ บริษัท FWD ประกันชีวิตจำกัด (มหาชน) ที่หมายเลข 1351 และเพื่อให้บริษัทสามารถเก็บข้อมูลในการติดต่อคุณลูกค้าอย่างครบถ้วน หากคุณลูกค้ามีการเปลี่ยนแปลงข้อมูลส่วนตัว เช่น ที่อยู่ เบอร์โทรศัพท์ อีเมล หรืออื่นๆ กรุณาติดต่อบริษัทเพื่อแจ้งการเปลี่ยนแปลงนะคะ คุณจะได้รับเรื่องกรมธรรม์ประกันชีวิตภายใน 10 วันทำการ นอกจากวันที่บริษัทอนุมัติรับประกันภัย กรุณาตรวจสอบความถูกต้องเงื่อนไขความ,"At the bottom, the second smls will be a link to verify your identity for self-insurance of EQ yc. This is an important step required by law and must be accompanied by an ID card. Nong Nattapong, in order to maintain the continuous validity of the policy, please pay the insurance premiums every time"
1099.8,1159.7,คุ้มครองและข้อยกเว้นรวมถึงรายละเอียดต่างๆ ในกรมธรรม์ครั้งนี้ทางสำนักงาน คปภ. กำหนดว่าภายใน 7 วันนับจากวันที่ทางบริษัทจัดส่งกรมธรรม์จะมีเจ้าหน้าที่ติดต่ออีกครั้งเพื่อให้แน่ใจว่าคุณลูกค้าได้รับกรมธรรม์เรียบร้อยแล้วนะคะ หากคุณลูกค้าพิจารณารายละเอียดกรมธรรม์นะคะมีความประสงค์ที่จะยกเลิกกรมธรรม์นะคะ ประกันชีวิตคุณลูกค้าสามารถแจ้งเป็นลายลักษณ์อักษรให้แก่บริษัท FWD ทราบภายใน 30 วันนะ ตั้งแต่วันที่ได้รับเล่มกรมธรรม์ประกันชีวิตนะคะ โดยที่คุณลูกค้าจะได้รับเบี้ยประกันชีวิตคืนเต็มจำนวน รวมถึงหากกรณีคุณลูกค้าไปส่งเวรคืนกรมธรรม์ก่อนกำหนด คุณลูกค้าได้รับเงินคืนเป็นจำนวนน้อยกว่าเบี้ยประกันภัยที่จ่ายไปแล้ว ทั้งนี้ขึ้นอยู่กับระยะเวลาที่เวนคืนตามรางท้ายกรมธรรม์นะคะ หากคุณลูกค้ามีข้อสงสัยต้องการข้อมูลเพิ่มเติม สามารถติดต่อได้ที่ 13 14 SCB Protect Quotation หรือ LINE SCB กรณีที่ไม่ได้รับเล่มกรมธรรม์หรือมีข้อสงสัยในรายละเอียดกรมธรรม์ สามารถสอบถามเพิ่มเติมได้ที่บริษัท FWD ประกันชีวิต จำกัด (มหาชน) ที่หมายเลข 1351 ค่ะ,Coverage and exclusions
1159.8,1167.7,วัน และ เวลา ทำการ อันนี้ คุณนันทพงศ์ วิธี ตอบ ตกลง ข้อความ ดังกล่าว ทั้งหมด นะคะ อันนี้ ตอบ ตกลง ให้ พี่เสาวนีย์ นิดนึง,"Days and operating hours, Mr. Nanthaphong, please confirm all the mentioned messages. This is to confirm for Ms. Saowanee a little bit."
1169.7,1173.3,กับคำว่า ตกลงค่ะ น้องนันทพงศ์,"with the word okay, little brother Nanthaphong"
1173.5,1194.4,ตกลงครับ อันนี้พี่สรุปความคุ้มครองให้เรียบร้อยแล้วนะ ถ้ามีไฟล์เสียงอะไรที่ตกหล่น พี่ขออนุญาตโทรหาน้องนันทภพอีก 1 รอบนะ พอดีมันอาจจะแบบว่าสัญญาณเน่า บางทีมันไม่ชัดเจน แล้วก็อันนี้สถานที่เกิดน้องที่ระบุไว้จะเป็นที่นครพนมใช่ไหม,"Okay, I have summarized the coverage for you. If there are any missing audio files, let me call Nuntapob one more time. The signal might be bad sometimes and unclear. Also, the place of birth you specified is in Nakhon Phanom, right?"
1194.9,1202.4,ใช่ครับ โอเค เดี๋ยวพี่ลงไว้ให้ก่อนนะ แล้วก็ถิ่นที่อยู่ทางภาษีในประเทศไทยเท่านั้น ถูกต้องไหม,"Yes, okay, I will note that down for now. And the tax domicile is only in Thailand, is that correct?"
1202.9,1238.3,โอเค ที่นี้ที่อยู่ที่ให้ไว้อันนี้ ที่อยู่ตามนี้เลยใช่ไหม รับเอกสารกรมธรรม์ใช่ครับ ผมที่อยู่ที่ภูเก็ตนะ เพราะว่าเดี๋ยวพอรับเอกสารกรมธรรม์เนี่ย มันจะมีผิดพลาด เดี๋ยวพี่ต้องไอ้นี่ก่อน โอเค เดี๋ยวตามนี้นะ ถ้ามีไฟล์เสียงตกหล่น ยังไงพี่ขออนุญาตด้วยเนาะ อันนี้รบกวนแค่นี้ ต้องขอให้เนาะ ณัฐพงษ์เที่ยวอย่างมีความสุขนะ ระวังในการทำงานด้วยนะ สุขภาพแข็งแรง เฮงๆ รวยๆ ปังๆ นะ โอเค ขอบพระคุณน้องณัฐพงษ์มากเลย สวัสดีค่ะ,"Okay, this address that you provided, this is the correct address, right? To receive the insurance policy, right? My address is in Phuket. Because when receiving the insurance policy, there might be some mistakes. You have to do this first, okay? Follow this. If there are any missing audio files, I apologize for that. Just want to bother you with this. I have to wish Nattapong a happy trip. Be careful at work too. Be healthy, lucky, rich, and awesome. Okay, thank you so much, Nong Nattapong. Goodbye."
