Start time,End time,Transcript,English Translation
291.500,323.200,แต่ทีเนี้ยพี่ก็เบาใจว่าเออน้องยังรับฟังพี่เนาะเพราะว่าถ้าเป็นแก๊งมิจฉาชีพอ่ะระบบโทรศัพท์เนาะจะถูกล็อคและแล้วอาจจะให้ไปรับของจะจ่ายเงินไม่ใช่ว่ามาขายประกันแบบนี้ถูกมั้ยแล้วก็อันนี้มันตรวจสอบข้อมูลได้ง่ายด้วยของพี่อ่ะมันมีบริษัทรองรับอยู่แล้วของไทยพาณิชย์อ่าโอเคเดี๋ยวถ้าขึ้นสลิปหนูส่งสลิปมาที่แบบเมื่อกี้นะ,"But now I'm relieved that, well, you still listen to me because if it were a gang of criminals, the phone system would probably be locked and then you might have to go pick up the items and pay, not like I'm selling insurance like this, is that right? This one is easy to check the information with. There's already a supporting company at Siam Commercial Bank. OK, if I get the slip, I'll send the slip to you like just now."
323.700,329.200,รหัสของราคานิดนึง,Code of a small price
330.100,362.400,ยังเลยพี่ยังไม่มาเลยเอางี้เดี๋ยวระหว่างรอเนี่ยเดี๋ยวพี่อ่านบทไอ้นี่ก่อน 15 ข้อเนาะแล้วก็สรุปความคุ้มครองถ้าข้อไหนเป็นคำถามที่ไม่สุภาพที่ต้องขออภัยน้องณัฐพงษ์ด้วยนะเพื่อไม่เป็นการเสียเวลาเนาะรอรหัสเพราะว่าเน็ตน้องอาจจะทาข้อแรกเริ่มเลยฉันเคยถูกปฏิเสธเรื่องการรับประกันภัยเพิ่มอัตราเบี้ยประกันภัยเปลี่ยนแปลงเงื่อนไขสำหรับการขอรับประกันภัยหรือการขอกลับคืนสู่ศาสนาเดิมหรือการขอต่ออายุกรมธรรม์จากบริษัทนี้หรือบริษัทอื่นหรือไม่คะ,"No, I haven't come yet, so let's wait while I'm waiting. I'll read this chapter first, 15 questions, and then summarize the coverage. If any of the questions are impolite, I apologize to Nong Natthaphong for not being offensive. It's a waste of time waiting for the code because your internet might do the first thing. I've been denied insurance, increased premium rates, changed conditions for applying for insurance, returned to my original religion, or renewed my policy from this company or another company. Or not?"
364.100,374.500,อ่าโอเคขอบคุณค่ะข้อที่ 2 ท่านเสพหรือเคยเสพยาเสพติดหรือจะเสพติดหรือมีส่วนเกี่ยวข้องกับการค้ายาเสพติดหรือเคยต้องโทษเกี่ยวกับคดียาเสพติดหรือไม่คะ,"Ah, OK, thank you. Number 2: Do you use or have ever used drugs or will be addicted or involved in drug dealing or have you ever been convicted of a drug crime?"
376.200,401.800,อ่าขอบคุณค่ะข้อที่ 3 ท่านเคยได้รับการวินิจฉัยหรือการรับรักษาหรือตั้งข้อสังเกตโดยแพทย์ปรากฏเป็นโรคเอดส์ HIV โรคมะเร็งโรคหัวใจโรคหลอดเลือดโรคเบาหวานโรคความดันสูงโรคหลอดเลือดในสมองโรคปอดวัณโรคโรคหอบหืดโรคเลือดโรคตับโรคไตโรค sld พิการทางร่างกายหรือไม่คะผมอ้าน้ำท่วมปอดนี่เนาะรักษายังไงอ่ะคะ,"Ah, thank you. Number 3: Have you ever been diagnosed or treated or noted by a doctor as having AIDS, HIV, cancer, heart disease, vascular disease, diabetes, high blood pressure, cerebrovascular disease, lung disease, tuberculosis, asthma, blood disease? Liver disease, kidney disease, SLD, is it a physical disability or not? It's flooding in the lungs. How can I treat it?"
402.800,409.100,กินยาเป็นพวกมันจะเป็นวัณโรคอ๋อแล้วก็รักษาเมื่อปีไหน,"If you take medicine, they will get tuberculosis. And what year was it treated?"
410.400,415.000,รักษาตอนปี 65 ครับผม 65 แล้วก็รักษาที่โรงพยาบาลอะไร,"Was treated in 65. I'm 65, and at what hospital?"
415.800,427.200,โรงพยาบาลป่าตองครับแล้วก็กลับมารักษาตัวอยู่ที่บ้านรักษายังไงบ้างให้ทานยาหรือว่ายังไงคะ,Patong Hospital and then came back to be treated at home. How do I get treatment? Should I take medicine or what?
427.900,433.400,ตอนนี้ผลการรักษาปกติหรือยัง,Are the treatment results normal now?
434.600,483.800,ก็ปกติดีครับแต่ว่าผลปกติดีอยู่เนาะว่าโรงพยาบาลอะไรโรงพยาบาลป่าตองครับโอเคโอเคได้อ่ะขอบคุณมากแล้วก็ต่อไปข้อที่ 4 ในระหว่าง 3 ปีที่ผ่านมาท่านเคยได้รับการตรวจเพื่อวิทย์ให้ใช้เช่น x-ray กว่าตรวจคลื่นหัวใจการตรวจเลือดหรือตรวจเลือดเครื่องมือพิเศษอื่นๆและได้รับการปรึกษาเกี่ยวกับสุขภาพหรือการเข้ารับการรักษาสถานพยาบาลหรือไม่ครับผมโอเคข้อที่ 5 ในรอบ 6 เดือนที่ผ่านมาน้ำหนักตัวของท่านเปลี่ยนแปลงหรือไม่คะ,"It's normal, but the results are normal. What hospital is it? Patong Hospital. OK. OK. Thank you very much. And next, number 4. During the past 3 years, have you ever received a scientific examination? Use such as x-ray than echocardiogram, blood test or blood test, other special tools and receive consultation about health or admission to a medical facility or not? I'm OK. Number 5 in the past 6 months, weight. Has your body changed?"
489.500,497.000,ก็จาก 53 ขึ้นมา 68 ครับพี่โอเคแล้วก็อันนี้เกิดจากการกินใช่ไหม,"It went from 53 up to 68. I'm okay. And this was caused by eating, right?"
500.000,506.100,ข้อที่ 6 ท่านเป็นผู้มีสัญชาติประเทศที่เกิดที่เกี่ยวข้องกับประเทศสหรัฐอเมริกาหรือไม่คะ,Question 6: Are you a citizen of a country of birth related to the United States?
506.700,523.400,ข้อที่ 7 ท่านเป็นหรือเคยพูดถือบัตรประจำตัวผู้มีถิ่นที่อยู่ถาวรอย่างถูกกฎหมายในประเทศสหรัฐอเมริกาหรือไม่คะไม่ครับข้อที่ 8 ท่านมีหน้าที่เสียภาษีให้แก่กรมสรรพากรของประเทศสหรัฐอเมริกาหรือไม่คะ,Question 7: Are you or have you ever held a legal permanent resident identification card in the United States? No. Question 8: Do you have a duty to pay taxes to the United States Internal Revenue Service?
523.700,582.900,ข้อที่ 9 ท่านมีสถานะเป็นผู้มีถิ่นที่อยู่ในประเทศสหรัฐอเมริกาเพื่อวัตถุประสงค์ในการเก็บภาษีอากรของประเทศสหรัฐอเมริกาใช่หรือไม่คะข้อที่ 10 คุณลูกค้ามีความประสงค์และยินยอมให้บริษัทประกันชีวิตส่งและเปิดเผยข้อมูลเกี่ยวกับเบี้ยประกันภัยต่อกรมสรรพากรตามหลักเกณฑ์วิธีการที่กรมสรรพากรกำหนดและหากผู้ขอรับประกันภัยเป็นชาวต่างชาติซึ่งเป็นผู้นำหน้าที่ต้องเสียภาษีเงินได้ตามกฎหมายว่าด้วยภาษีอากรอันนี้น้องนันทพงศ์มีความประสงค์ให้พี่เปิดเผยต่อกรมสรรพากรไหมคะไม่ครับผมอ่ะโอเคข้อที่ 11 บริษัทไทยพาณิชย์โปรเทคจำกัดและบริษัท fwd ประกันชีวิตจำกัดตระหนักถึงความสำคัญในการดูแลข้อมูลส่วนบุคคลเพื่อให้เป็นไปตามพรบคุ้มครองข้อมูลส่วนบุคคลบริษัทขายขอความยินยอมจากคุณลูกค้านะคะซึ่งคุณลูกค้าให้ความยินยอมเธอเป็นการให้ความยินยอมสำหรับทุกคนมาแทนที่มีคุณลูกค้ามีอยู่แล้วจะมีให้กับบริษัท fwd นะคะ,"No. 9 Do you have resident status in the United States for the purposes of U.S. tax collection? No. 10: The customer wishes and consents to the life insurance company sending and disclosing information regarding reinsurance premiums. The Revenue Department according to the rules and procedures set by the Revenue Department and if the applicant for insurance is a foreigner who is the person in charge of paying income tax according to the tax law, does Nong Nanthaphong wish for you to disclose this to the Revenue Department? No. I'm OK. Number 11. Siam Commercial Protech Co., Ltd. and FWD Life Assurance Co., Ltd. recognize the importance of taking care of personal information in order to comply with the Personal Data Protection Act. The sales company asks for consent from the customer. In which the customer has given his consent, it is consent for everyone to replace those who already have customers, it will be given to the fwd company."
583.700,610.000,คุณลูกค้ายินยอมให้บริษัทไทยพาณิชย์โปรเทคจำกัดเก็บรวบรวมใช้และเปิดเผยข้อมูลส่วนบุคคลและข้อมูลส่วนบุคคลที่มีความอ่อนไหวเช่นข้อมูลสุขภาพให้แก่บริษัท fwd ประกันชีวิตจำกัดมหาชนเพื่อวัตถุประสงค์ในการนำเสนอผลิตภัณฑ์และบริการและข้อเสนอพิเศษอื่นเกี่ยวกับการประกันภัยและการตรวจสอบที่เกี่ยวข้องรวมถึงยินยอมให้ทำการวิเคราะห์ปรับปรุงผลิตภัณฑ์บริการและอื่นๆคุณลูกค้ายินยอมนะคะอันนี้ตอบยินยอมให้พี่นิดนึงค่ะผม,"The customer agrees to allow SCB Protech Company Limited to collect, use and disclose personal information and sensitive personal information such as health information to FWD Life Assurance Public Company Limited for the purpose of offering products and services and other special offers. Regarding insurance and related inspections, including consent to analyze and improve products, services, etc., the customer consents. This answer gives consent to me a little bit."
611.200,670.700,กล่าวคำว่ายินยอมค่ะข้อที่ 12 ท่านตกลงให้ความยินยอมให้บริษัทไทยพาณิชย์โพเทคจำกัดนะคะเปิดเผยข้อมูลส่วนบุคคลหรือข้อมูลใดๆของท่านให้แก่ธนาคารไทยพาณิชย์จำกัดมหาชนและบริษัทกลุ่มในธุรกิจทางการเงินของธนาคารตามที่ปรากฏบน World Wide web. scb.co.th และพันธมิตรทางธุรกิจที่เชื่อถือได้ของบริษัทเพื่อวัตถุประสงค์ดังนี้วิจัยวิเคราะห์ข้อมูลส่วนบุคคลและข้อมูลใดๆของท่านเพื่อประโยชน์สูงสุดในการพัฒนาผลิตภัณฑ์และบริการที่ตอบสนองความต้องการของท่านอย่างแท้จริงและ 2 ติดต่อท่านเพื่อเสนอผลิตภัณฑ์และบริการและสิทธิประโยชน์ที่เหมาะสมแก่ท่านโดยเฉพาะคุณลูกค้าสามารถอ่านในวัยความคุ้มครองข้อมูลบุคคลตรวจสอบรายชื่อบริษัทคู่ค้าได้ที่หน้าเว็บไซต์ของบริษัทไทยพาณิชย์โปรเทคจำกัดที่ www.scbotech.co.th นะคะหากคุณลูกค้ามาส่งน้ำร้อนหากคุณลูกค้าประสงค์ที่จะถอดความยินยอมในอนาคตสามารถแจ้งผ่านศูนย์บริการลูกค้า 1314 นะคะ,"Say the word consent. No. 12. You agree to give consent to Siam Commercial Bank Public Company Limited to disclose your personal information or any information to Siam Commercial Bank Public Company Limited and group companies in the bank's financial business in accordance with that appears on the World Wide web. scb.co.th and the company's trusted business partners for the following purposes: Research and analyze your personal information and any information for the greatest benefit in developing products and services that meet your needs. truly meet your needs and 2 contact you to offer products and services and benefits that are appropriate to you especially. You can read about personal data protection age and check the list of partner companies on the company's website. Siam Commercial Bank Protech Co., Ltd. www.scbotech.co.th If you come to deliver hot water, if you wish to withdraw your consent in the future, you can notify us through the Customer Service Center 1314."
671.300,671.900,ต้องนันทพงศ์,Must be Nanthaphong
681.600,682.300,ตัวนี้ใช่ไหมพี่,Is this this one?
701.700,703.500,พอๆขอบคุณครับ,"Enough, thank you."
704.500,708.000,น้องนันทพงศ์,Nong Nanthapong
708.500,768.300,ครับข้อ 13 ต่อจากนี้ไปจะเป็นการให้ความยินยอมกับบริษัท fwd นะคะหากคุณลูกค้าหรือผู้แทนยืนยันว่าคำตอบทุกข้อเป็นความจริงแล้วเข้าใจดีว่าหากไม่แถลงข้อความจริง fwd แอบปฏิเสธรับประกันภัยการจ่ายเงินตามกรมธรรม์คุณลูกค้าหรือผู้แทนโดยชอบธรรมยินยอมให้แพทย์และบริษัทประกันภัยหรือสถานพยาบาลหรือบุคคลอื่นใดซึ่งข้อมูลส่วนบุคคลที่อ่อนไหวเช่นประวัติสุขภาพของคุณลูกค้าหรือผู้เยาว์ที่ผ่านมาจะมีต่อไปในอนาคตเปิดเผยข้อมูลให้แก่บริษัท fwd หรือผู้แทนเพื่อการพิจารณารับประกันภัยหรือการจ่ายเงินตามกรมธรรม์คุณลูกค้าหรือผู้แทนชอบธรรมยินยอมให้บริษัท fwd เก็บรวบรวมใช้และเปิดเผยข้อมูลส่วนบุคคลที่อ่อนไหวเช่นข้อมูลสุขภาพของคุณลูกค้าหรือผู้เยาว์ต่อบริษัทประกันภัยอื่นหรือบริษัทประกันภัยต่อหน่วยงานเนี่ยมีอำนาจตามกฎหมายบุคลากรทางการแพทย์เพื่อการพัฒนารับประกันภัยหรือการจ่ายเงินตามกรรมทันประกันภัยของคุณลูกค้าหรือผู้แทนโดยชอบธรรมรับทราบว่า mwd เก็บรวบรวมใช้หรือเปิดเผยข้อมูลส่วนบุคคลของคุณลูกค้าหรือผู้เยาว์แก่สำนักงานคณะกรรมการกำกับการส่งเสริมการประกอบธุรกิจประกัน,"Yes, number 13 from now on will be giving consent to fwd company if the customer or representative confirms that every answer is true. I understand that if you don't make a true statement, fwd will secretly refuse to accept insurance payments according to The policy of the customer or legal representative allows the doctor and insurance company or medical facility or any other person whose sensitive personal information, such as the past health history of you, the customer, or a minor, will in the future disclose information to FWD Company or the representative. For underwriting or policy payment, you, the customer or legal representative consents to FWD Company collecting, using and disclosing sensitive personal information such as health information of you, the customer or a minor to another insurance company or reinsurance company. MWD has the authority under the law. Medical personnel to develop, accept insurance or pay according to your insurance. The customer or legal representative acknowledges that mwd collects, uses or discloses personal information of the customer or minor to the Office of the Securities and Exchange Commission. Promotion of insurance business"
828.400,832.600,ส่วนบุคคลเพื่อการวิเคราะห์ปรับปรุงผลิตภัณฑ์บริการและอื่นๆคุณลูกค้ายินยอมนะคะ,"Personal information for analysis, product improvement, services, etc., the customer consents."
833.000,872.900,ข้อที่ 15 คุณลูกค้ายินยอมให้บริษัท fwd เก็บรวบรวมและหรือใช้ข้อมูลส่วนบุคคลข้อมูลส่วนบุคคลที่มีความอ่อนไหวเพื่อเสนอผลิตภัณฑ์บริการและข้อเสนอพิเศษอื่นๆรวมถึงโอนและเปิดเผยแก่บริษัทคู่ค้าหรือบริษัทในเครือเพื่อการวิเคราะห์ปรับปรุงการผลิตแผ่นและอื่นๆรวมถึงการเสนอผลิตภัณฑ์และบริการข้อเสนอพิเศษอื่นๆคุณลูกค้ายินยอมนะคะค่ะหากในอนาคตคุณลูกค้ามีความประสงค์เปลี่ยนแปลงความยินยอมสามารถติดต่อผ่านศูนย์บริการ 1351 ครั้งนี้ fwd ขอเรียนให้ทราบว่าการถอนความยินยอมในภายหลังจะทำให้ท่านเสียสิทธิ์ในการรับข้อเสนอผลิตภัณฑ์ข้อเสนอพิเศษอื่นๆข่าวสารต่างๆทางจาก fwd และบริษัทคู่ค้าด้วยนะคะ,"Article 15: The customer consents to fwd company collecting and/or using personal, sensitive personal information to offer products, services and other special offers, including transferring and disclosing to partner companies or affiliated companies for analysis. Unfortunately, improving the production of sheets and others, including offering products and services, other special offers, the customer consents. If in the future the customer wishes to change his consent, he can contact the service center 1351 this time fwd. Please note that withdrawing your consent later will cause you to forfeit your right to receive product offers, other special offers, and various news from fwd and partner companies as well."
873.600,881.000,ค่ะค่ะอันนี้เดี๋ยวพี่สรุปความคุ้มครองนะอีกไม่เกิน 2 นาทีอันนี้น้องอยู่ข้างนอกเหรอ,"Yes, this one. I'll summarize the coverage in no more than 2 minutes. Is this one outside?"
882.400,941.500,"ค่ะอันนี้เสาวนีย์ภูมิมาวาสนะคะเลขที่ใบอนุญาต 6603013069 นะคะติดต่อจากบริษัทไทยพาณิชย์โปรเทคจำกัดรับประกันภัยโดยบริษัท fwd ประกันชีวิตจำกัดมหาชนขออนุญาตยืนยันข้อมูลนะคะเพื่อเป็นการรับสมัครความคุ้มครองทางโทรศัพท์โดยที่ไม่ต้องกรอกเอกสารการสมัครใดๆทั้งสิ้นขณะนี้คุณนันทพงศ์วิธีมีอายุระหว่าง 20 - 60 ปีคุณนันทพงศ์ตั้งแต่สมัครทำประกันชีวิตแบบออมเพิ่มสุข 24/4 กับบริษัท fwd ประกันชีวิตจำกัดมหาชนดำเนินธุรกิจประกันชีวิตในประเทศไทยภายใต้การกำกับดูแลของคปภนะคะดิฉันขอยืนยันผลประโยชน์ที่คุณลูกค้าจะได้รับคือคุณลูกค้าได้รับสมัครความคุ้มครองที่ทุนประกันภัย 60,000 บาทคุณนันทพงศ์จะได้รับเงินจ่ายคืนทุกปีตั้งแต่สิ้นปีกรมธรรม์ปีที่ 1-14 จำนวน 4% ปีละ 2400 บาทและหน้าสิ้นปีกรมธรรม์ที่ 15-24 จำนวน 8% ปีละ 4,800 บาทรวมผลประโยชน์ทั้งหมดที่คุณนันทพงศ์นิธีได้รับเป็นเงินจ่ายคืน","Yes, this one is Saowanee Phummawas, license number 6603013069. Contact from Siam Commercial Protech Co., Ltd., insured by FWD Life Insurance Public Co., Ltd. I would like permission to confirm the information in order to apply for coverage over the phone without having to. Fill out any application documents. Currently, Mr. Nanthaphongwithee is between 20 - 60 years old. Mr. Nanthaphong has since applied for Life Insurance, Savings Perm Happiness 24/4 with FWD Life Assurance Public Company Limited, operating a life insurance business in Thailand under the supervision of OIC, I would like to confirm the benefits that the customer will receive, that is, the customer has applied for coverage with a sum insured of 60,000 baht. Mr. Nanthaphong will receive a refund every year from the end of policy year 1-14. The amount of 4% per year is 2400 baht and at the end of policy year 15-24, the amount of 8% per year is 4,800 baht, including all the benefits that Mr. Nanthapongnithi receives as a refund."
942.300,978.600,"9,600 บาทโดยที่คุณลูกค้าจะได้รับความคุ้มครองการสูญเสียชีวิตตลอด 24 ปีจำนวน 288,000 บาทหรือเบี้ยประกันภัยที่ชำระมาแล้วแต่จำนวนใดมากกว่ากรณีที่บริษัทไม่คุ้มครองคือไม่คุ้มครองการเสียชีวิตจากการฆ่าตัวตายภายในปีแรกหรือถูกผู้รับผลประโยชน์ฆ่าตายและกรณีไม่เปิดเผยว่าความจริงหรือแถลงข้อความอันเป็นเท็จนะคะคุณลูกค้าตกลงยินยอมให้บริษัท fwd ประกันชีวิตจำกัดเรียกเก็บค่าเบี้ยประกันภัยของคุณเป็นแบบรายเดือนงวดละ 2,25 บาทเป็นเวลา 14 ปีผ่านบัญชีออมทรัพย์นะคะอันนี้น้องณัฐพงษ์ตกลงนะคะ","9,600 baht, whereby the customer will receive loss of life protection for 24 years in the amount of 288,000 baht or the premium paid, whichever amount is greater in cases where the company does not cover, that is, does not cover death from suicide within the first year or Was killed by the beneficiary and in the case of not disclosing the truth or making false statements, the customer agrees to allow FWD Life Insurance Company Limited to collect your premium on a monthly basis of 2,25 baht per installment for 14 years. Through a savings account. Nong Natthaphong agrees with this one."
979.900,1039.700,ก็คือว่าถ้าพร้อมแบบสมมุติถ้าครบ 2 ปีแล้วถ้าผมต้องถอนตังค์ออกนี้ได้ใช่ไหมพี่เขาแจ้งได้ใช่มั้ยในแอปองค์นี้เดี๋ยวพี่มันจะมี QR code ในเล่มกรมธรรม์ด้วยให้น้องโหลดหรือว่าน้องสามารถพิมพ์ได้เลยเดี๋ยวพี่ส่งขั้นตอนให้นะโอเคได้ๆครับผมตกลงให้พี่สวัสดีนิดนึงครับคุณลูกค้าจะได้รับความคุ้มครองทันทีหลังจากสามารถเรียกเก็บเบี้ยในประเภทออมทรัพย์นะคะทีนี้ตกลงตามข้อความทั้งหมดที่กล่าวมาด้วยนะคะอันนี้ตกลงให้พี่นิดนึงพี่จะบันทึกในระบบตกลงความโอเคหลังจากนี้เมื่อกรมธรรม์ได้รับการอนุมัตินะคะน้องนันทพงศ์นี้ทีจะได้รับ SMS 2 ข้อความจาก fwd Ride SMS ที่ 1 จะแจ้งยืนยันกรมธรรม์ที่ได้รับการอนุมัติพร้อมดึงเข้าไปตรวจสอบข้อมูลกรมธรรม์รายละเอียดความคุ้มครองและรอบการชำระค่าเบี้ยเมื่อน้องเราจะคงตรวจสอบเรียบร้อยแล้วกรุณากดยืนยันความถูกต้องของกรมธรรม์ที่,"That is, if you're ready, hypothetically, if 2 years have passed, if I have to withdraw this money, right? You can let me know, right? In this app, there will also be a QR code in the policy booklet for you to download or what? You can type it in and I'll send you the steps. OK, fine. I agree to give you a little hello. The customer will receive protection immediately after being able to collect premiums in the savings category. Now I agree to all the messages. Please mention this. I agree with you a little. I will record it in the OK system. After this, when the policy is approved, Nong Nanthaphong will receive 2 SMS messages from fwd Ride SMS at 1 We will confirm the policy that has been approved and pull you in to check the policy information, coverage details and premium payment period. When you have already checked, please click to confirm the correctness of the policy at"
1039.900,1099.700,ล่างสุดด้วยนะคะค่ะส่วน smls ที่ 2 จะเป็น Link เพื่อยืนยันตัวตนสำหรับการทำประกันภัยแบบ EQ yc ด้วยตนเองเป็นขั้นตอนสำคัญที่กฎหมายกำหนดและต้องใช้บัตรประชาชนประกอบด้วยนะคะน้องณัฐพงษ์เพื่อเป็นการรักษากรมธรรม์ให้มีผลบังคับใช้อย่างต่อเนื่องกันกรุณาชำระเบี้ยประกันภัยเมื่อถึงกำหนดชำระทุกครั้งนะคะเพราะหากกรมธรรม์อายุคุณลูกค้าจะต้องส่งราคาแสดงว่ามีสุขภาพสมบูรณ์และสามารถทำประกันชีวิตต่อได้ตามเงื่อนไขกรมธรรม์และคุณสามารถเปลี่ยนแปลงวิธีการชำระเบี้ยประกันภัยเป็นหากผ่านบัญชีธนาคารได้เพียงติดต่อที่บริษัท fwd ประกันชีวิตจำกัดมหาชนที่หมายเลข 1351 และเพื่อให้บริษัทสามารถเก็บข้อมูลในการติดต่อคุณลูกค้าอย่างครบถ้วนหากคุณลูกค้ามีการเปลี่ยนแปลงข้อมูลส่วนตัวเช่นที่อยู่เบอร์โทรศัพท์อีเมลหรืออื่นๆกรุณาติดต่อบริษัทเพื่อแจ้งการเปลี่ยนแปลงนะคะคุณจะได้รับเรื่องกรมธรรม์ประกันชีวิตภายใน 10 วันทำการนอกจากวันที่บริษัทอนุมัติรับประกันภัยกรุณาตรวจสอบความถูกต้องเงื่อนไขความ,"At the bottom as well, the second smls section will be a link to confirm your identity for applying for EQ yc insurance yourself. It is an important step required by law and must include an ID card, Nong Natthaphong, in order to maintain the policy. To be continuously effective, please pay the premium when payment is due every time because if the policy is expired, the customer must submit a price showing that they are in good health and able to continue with life insurance according to the policy conditions and you can change the method. Payment of insurance premiums can be made through a bank account by simply contacting FWD Life Assurance Public Company Limited at number 1351 and so that the company can keep complete contact information for customers if you change personal information such as address and telephone number. Email or otherwise, please contact the company to notify of changes. You will receive your life insurance policy within 10 business days apart from the date the company approves the insurance. Please check the accuracy of the conditions."
